feature,f_score,p_value
Lisch Nodules,3.1839934675628427,0.07539390965218261
Optic Glioma,2.1248520944271716,0.14599409355152893
Café au lait (CLS),1.7896306636363508,0.18200504536567008
Skeletal Dysplasia,1.7641457971733294,0.18513839312599478
Hypertension,1.3414676711990396,0.24771528755288302
Tumour Case,0.8785577880171676,0.34936632477872687
Hamartoma,0.7849179568395409,0.3763653343476671
Plexiform Neurofibromins,0.6012361802631508,0.43872998845697925
Other Symptoms,0.5660850521688316,0.45242078122454193
Age at First Diagnosis,0.43265371001389186,0.5112043448825079
Astrocytoma,0.42238393699925714,0.5162573752480554
Learning Disability,0.368212568002729,0.5444484881680602
Axillary Freckles,0.20453956901398812,0.6514148298466224
Age of Mother,0.18350163792049584,0.6686947588899972
Dermal Neurofibromins,0.17328966023457756,0.6775083047274126
Inguinal Freckles,0.15719260725002737,0.6920420920633144
Age of Father,0.013765026359698526,0.9066830604191412
Scoliosis,0.0016214325332786753,0.9679075808265911
