feature,sporadic_0,familial_1,abs_diff
Age at First Diagnosis,11.49685534591195,12.334586466165414,0.8377311202534639
Age of Mother,27.035714285714285,27.33884297520661,0.3031286894923255
Age of Father,31.93617021276596,31.818181818181817,0.11798839458414179
Lisch Nodules,0.32298136645962733,0.22962962962962963,0.0933517368299977
Optic Glioma,0.13043478260869565,0.1925925925925926,0.062157809983896944
Skeletal Dysplasia,0.16149068322981366,0.2222222222222222,0.060731538992408546
Tumour Case,0.2546583850931677,0.3037037037037037,0.049045318610536015
Other Symptoms,0.36024844720496896,0.31851851851851853,0.041729928686450424
Café au lait (CLS),0.9503105590062112,0.9111111111111111,0.039199447895100104
Plexiform Neurofibromins,0.12422360248447205,0.15555555555555556,0.03133195307108351
Axillary Freckles,0.5217391304347826,0.5481481481481482,0.026409017713365568
Hamartoma,0.037267080745341616,0.05925925925925926,0.021992178513917646
Dermal Neurofibromins,0.2670807453416149,0.28888888888888886,0.02180814354727395
Inguinal Freckles,0.2608695652173913,0.2814814814814815,0.020611916264090202
Hypertension,0.024844720496894408,0.007407407407407408,0.017437313089487
Learning Disability,0.024844720496894408,0.037037037037037035,0.012192316540142627
Astrocytoma,0.012422360248447204,0.022222222222222223,0.009799861973775019
Scoliosis,0.043478260869565216,0.044444444444444446,0.00096618357487923
