feature,importance
Hypertension,0.030920314253647534
Age of Mother,0.013411896745230028
Hamartoma,0.01010101010101006
Scoliosis,0.003872053872053824
Dermal Neurofibromins,0.00022446689113355677
Optic Glioma,0.00022446689113351514
Astrocytoma,0.0
Learning Disability,-5.611672278346136e-05
Lisch Nodules,-0.0003928170594837743
Skeletal Dysplasia,-0.000505050505050561
Tumour Case,-0.0024130190796857937
Café au lait (CLS),-0.006902356902356951
Inguinal Freckles,-0.007744107744107781
Other Symptoms,-0.008585858585858645
Plexiform Neurofibromins,-0.014253647586980972
Axillary Freckles,-0.03170594837261509
Age at First Diagnosis,-0.03344556677890017
Age of Father,-0.034680134680134755
